50
42 68
25 33 37
28 26 10
33 9 91
2 32 53
1 18 9
19 17 13
6 6 40
30 33 5
23 22 70
10 1 24
8 27 60
3 5 97
25 11 59
32 3 93
3 23 48
12 7 8
19 15 93
22 5 100
2 13 83
31 18 76
3 17 37
25 23 98
28 9 17
32 32 26
26 18 21
6 17 48
21 1 76
14 31 55
3 19 15
10 26 70
5 30 76
3 7 76
15 31 35
22 22 65
62 25
21 48 50
12 17 24
22 61 26
39 48 37
25 11 94
48 34 65
8 26 36
20 32 5
3 51 65
18 62 69
9 22 53
19 19 95
50 9 97
34 35 41
20 62 44
48 50 90
35 22 6
6 4 51
30 53 65
45 56 75
28 26 96
51 49 62
43 54 59
7 53 27
35 38 75
53 83
41 20 92
10 40 75
51 9 56
47 4 73
38 7 48
35 39 6
13 20 51
13 6 82
30 20 40
29 32 63
52 1 16
11 41 60
5 27 87
5 42 46
44 26 1
29 19 88
40 3 75
23 41 84
25 17 77
24 16 24
1 52 77
40 7 83
21 32 26
37 17 78
38 43 35
26 50 69
43 28 84
45 25 27
4 48 13
22 34 9
17 29 86
30 8 44
45 7 51
10 7 51
46 23 55
12 22 66
33 32 94
45 41 73
45 37 43
2 14 71
26 2 82
9 21 38
49 30 96
40 41 43
1 30 59
34 40 71
3 6 59
40 34 84
27 21 11
49 12 35
9 28 4
36 27 39
49 48 51
41 12 59
33 32 57
6 38 90
9 8 76
28 40 34
25 25 49
36 44 34
46 42 36
24 4 38
28 44 29
37 12 45
49 41 53
32 1 36
37 30 98
31 24 16
15 44 1
42 30 24
12 53 34
46 27 55
1 26 20
2 3 32
1 52 88
20 27 84
49 4 94
39 41 61
33 30 98
13 44 41
35 14 93
20 3 79
1 21 78
21 98
9 8 27
9 13 83
13 9 19
1 10 50
17 3 81
3 10 9
1 16 71
12 10 75
11 13 20
10 21 91
1 4 17
10 20 42
5 2 63
17 6 16
1 19 37
14 3 33
18 11 41
4 11 71
7 17 50
2 12 6
13 5 97
6 14 79
1 4 78
14 16 30
13 2 79
5 4 100
20 1 94
18 5 44
20 16 69
8 19 74
3 4 52
16 15 47
16 13 30
2 14 92
20 13 47
20 7 16
6 13 41
21 17 52
21 9 63
12 4 95
15 18 66
16 21 62
13 8 79
3 10 48
13 8 76
6 16 50
2 21 15
9 14 33
17 11 23
4 8 42
1 12 6
2 20 39
17 8 9
15 13 60
12 3 67
10 5 29
17 18 54
4 5 4
2 3 83
9 17 7
3 11 97
14 9 56
16 1 19
9 19 75
14 14 75
14 6 36
2 3 54
17 19 81
14 18 51
9 3 100
20 11 17
9 6 46
6 15 51
9 12 88
12 15 44
13 7 30
16 14 77
7 19 91
21 3 73
18 3 21
8 17 59
2 2 79
16 2 72
7 4 98
17 5 30
20 21 85
16 5 18
15 13 85
21 2 29
5 17 91
10 6 87
1 2 11
4 17 16
2 9 81
3 5 88
20 14 8
13 14 75
11 21 72
86 38
36 61 12
41 29 7
27 13 14
61 25 38
86 46 56
73 22 82
26 12 88
25 42 18
4 14 48
4 35 5
9 36 26
23 57 82
62 76 57
77 85 81
71 40 12
40 41 52
56 13 69
24 44 34
73 80 60
7 28 96
53 4 21
50 52 77
58 41 72
31 13 57
66 35 6
33 10 63
48 31 81
19 17 3
29 37 41
33 1 94
6 6 75
65 30 81
80 20 1
25 14 67
22 55 82
64 58 97
18 77 13
55 18 63
22 23
15 9 13
13 2 69
14 3 51
6 2 60
2 3 4
20 22 100
1 14 62
20 10 54
8 3 88
19 3 84
22 13 19
11 17 30
2 1 70
16 11 48
6 21 27
11 2 41
12 5 89
3 6 46
20 6 84
13 8 79
14 6 63
21 16 97
22 2 36
91 63
87 82 66
31 89 8
2 3 35
39 88 99
12 12 19
8 10 73
73 46 65
25 52 91
33 5 28
91 71 72
17 78 64
47 59 22
8 89 96
84 32 13
3 27 56
62 45 80
39 1 55
54 65 46
41 36 91
22 74 5
41 67 79
14 68 31
10 11 95
60 53 88
15 18 17
17 33 39
64 87 98
75 89 25
73 71 75
1 34 94
34 26 62
82 69 85
39 8 20
86 40 85
79 11 84
89 4 26
12 88 29
82 78 38
62 45 96
44 66 94
84 43 81
75 47 85
12 2 91
2 49 52
43 50 75
5 45 90
51 61 40
60 35 64
7 62 6
73 43 96
71 63 99
55 49 16
88 71 27
12 24 29
23 62 79
48 83 44
63 64 50
41 26 3
68 58 47
67 26 14
18 59 91
40 28 27
72 53 83
6 75
6 5 64
3 5 67
4 6 89
6 2 68
2 1 90
2 5 48
1 4 100
4 1 4
3 3 71
4 3 68
6 5 32
2 3 76
4 5 96
4 5 4
3 2 51
6 2 92
2 1 76
1 3 1
2 2 86
6 3 94
1 2 51
1 4 72
3 6 39
5 1 48
2 1 80
5 1 91
4 6 23
3 2 9
5 6 95
2 5 79
6 6 42
6 1 46
4 1 65
1 4 86
5 4 63
2 1 70
4 5 53
3 1 31
6 1 50
4 5 64
4 2 71
5 2 12
5 6 99
6 4 80
4 3 23
1 5 35
1 6 41
4 3 52
3 3 17
5 6 21
4 2 99
1 4 58
5 3 3
4 3 71
5 3 42
3 2 18
2 6 99
3 4 66
6 2 20
2 3 31
1 5 90
6 5 73
6 1 96
6 1 91
4 1 72
4 5 44
5 2 38
1 4 75
5 2 4
4 6 63
5 4 52
6 5 18
4 6 67
5 6 60
6 6 52
41 10
18 19 98
12 17 59
33 15 82
41 38 88
41 7 80
24 2 31
10 38 6
8 20 60
21 39 61
11 29 82
94 97
11 39 62
45 47 71
16 8 56
35 19 61
20 14 34
27 52 27
93 54 60
26 87 74
90 58 34
65 12 91
73 10 69
26 21 90
6 58 48
31 44 70
66 57 50
40 34 24
17 20 55
7 92 86
69 67 94
24 41 54
14 55 85
19 40 49
17 75 12
7 56 28
52 25 100
12 83 7
30 80 59
59 41 48
27 22 65
81 60 90
69 73 13
66 16 77
54 74 87
30 62 88
75 43 91
23 8 56
31 26 3
19 88 25
47 54 33
87 22 47
22 16 84
5 64 61
77 38 22
37 52 28
83 22 52
12 40 35
71 53 11
27 38 57
81 92 36
38 13 26
17 66 13
26 19 6
36 82 93
58 22 47
9 88 16
11 14 30
79 94 100
19 55 76
53 37 74
93 65 98
16 60 4
55 86 35
57 54 83
83 80 79
42 31 22
51 50 78
66 65 82
25 23 63
47 27 96
82 14 38
86 31 85
16 9 22
26 56 69
56 12 58
54 26 65
90 70 73
35 38 16
43 30 58
84 18 53
58 41 30
79 57 99
44 86 75
1 45 39
66 9 30
14 62 79
94 89 1
68 13 6
56 86 68
33 47 85
58 82 35
93 5 86
91 45 43
63 18 19
3 39 98
50 61 70
69 31 94
5 89 3
20 19
20 5 91
13 9 57
8 15 79
1 15 40
9 15 28
3 19 42
5 2 3
10 17 47
2 9 34
5 7 34
3 3 86
1 2 61
8 19 44
12 4 14
17 16 35
12 13 62
19 12 60
8 5 71
12 5 8
2 90
1 2 59
2 1 14
1 2 61
2 1 3
2 1 74
1 1 76
2 2 62
1 2 30
1 2 52
1 2 71
2 1 8
1 2 41
1 2 10
2 2 61
1 2 55
2 2 24
1 2 67
2 1 33
2 1 67
2 2 61
1 2 92
1 2 88
1 2 18
1 1 89
1 2 67
1 2 20
1 1 68
2 1 15
1 2 8
2 1 23
2 1 64
2 1 94
1 1 44
1 2 27
1 2 21
1 1 65
2 1 94
1 1 1
2 1 52
2 2 44
1 2 62
2 1 35
1 1 64
2 1 89
1 2 31
2 1 75
2 1 82
1 2 93
2 2 24
1 1 62
1 2 70
2 2 80
2 2 15
1 2 37
2 2 54
2 2 82
2 2 17
1 1 86
2 2 58
2 1 11
2 2 72
2 1 65
1 2 48
2 2 12
1 2 54
2 1 41
2 1 21
1 1 99
1 2 90
1 1 89
2 2 20
2 2 10
1 1 17
1 1 54
2 1 94
1 1 55
2 1 95
2 2 47
2 2 29
1 1 22
1 2 34
1 2 30
1 1 9
2 1 7
1 2 98
1 2 70
2 1 96
2 2 10
2 2 35
2 2 59
94 67
3 93 52
69 5 38
64 58 98
49 87 18
50 83 38
54 91 97
23 76 29
5 41 45
40 11 70
21 17 93
35 18 28
56 50 6
19 20 14
91 44 4
18 63 82
23 55 49
6 59 12
41 64 28
36 88 63
85 85 18
73 13 1
32 53 77
52 4 31
63 20 38
38 18 28
91 5 12
78 4 54
10 21 86
44 28 1
70 27 71
5 11 32
71 91 41
2 36 49
25 67 97
18 88 53
55 34 65
93 55 57
40 64 83
57 21 100
79 76 32
61 81 51
72 62 39
91 66 44
88 23 96
32 33 64
60 91 89
9 52 80
14 36 80
75 86 3
27 53 24
63 62 24
91 6 96
82 22 9
7 86 66
91 13 11
70 36 6
44 60 70
57 91 6
82 33 46
65 17 86
68 90 95
79 46 49
63 19 57
87 26 83
42 1 36
72 88 28
48 34 69
72 4
32 12 43
42 41 35
51 50 31
3 39 59
92 44
60 52 89
50 73 85
35 69 36
72 36 83
27 15 6
22 25 90
11 84 51
12 18 57
80 45 43
68 76 26
9 28 17
86 33 7
38 55 36
49 56 14
89 58 19
79 19 40
59 88 47
88 89 12
75 76 59
4 10 91
65 51 14
38 71 73
66 35 42
82 81 14
83 12 96
16 32 94
14 56 41
77 23 26
54 32 1
58 86 93
80 72 18
32 60 94
15 17 26
77 91 49
72 75 45
84 77 54
54 91 47
92 27 5
56 30 87
72 45 57
28 88 52
87 14 67
42 60 94
56 60 13
45 98
13 44 2
24 14 5
13 7 42
19 5 21
35 25 26
20 5 75
26 5 50
37 38 4
39 40 38
36 5 52
14 39 18
32 28 85
33 14 70
39 20 98
44 24 28
40 22 83
25 43 94
19 35 5
34 37 96
11 4 93
34 41 100
5 20 75
40 14 15
4 1 19
23 22 39
40 29 64
22 6 89
12 27 21
4 32 69
33 18 58
39 3 39
20 32 7
22 16 57
6 9 24
17 2 98
29 11 7
35 6 52
41 2 44
16 45 79
3 31 15
7 15 25
16 18 18
29 22 3
37 25 99
36 4 90
33 16 76
26 27 90
20 8 13
8 7 73
6 27 54
42 28 86
22 42 98
43 44 36
39 12 17
4 41 12
25 40 97
33 2 57
7 19 59
33 24 87
38 20 29
16 21 50
32 23 29
22 13 20
12 16 48
40 45 7
12 40 70
11 16 22
28 36 17
8 16 36
12 36 50
4 1 89
3 6 78
9 28 56
20 35 1
39 16 89
35 41 11
40 33 98
1 3 5
4 13 100
24 8 13
38 20 52
5 41 34
14 23 84
29 9 11
18 13 42
32 10 85
7 9 70
28 36 93
16 41 13
41 44 36
30 3 98
4 14 35
20 37 79
5 31 35
25 30 13
23 25 93
13 14 56
41 15 74
23 54
17 1 98
5 3 38
21 3 32
22 8 37
20 13 91
18 4 48
2 4 26
1 21 29
15 11 29
6 10 38
9 19 54
10 22 47
4 3 55
14 14 7
10 6 100
2 9 62
4 2 14
12 14 97
19 6 31
5 8 16
8 11 67
6 12 38
12 14 50
4 12 78
13 5 91
2 1 19
6 20 30
21 12 26
21 19 17
15 20 48
3 6 5
10 9 65
1 5 51
3 19 67
4 19 46
10 15 57
9 1 58
7 11 75
16 2 91
1 17 97
1 6 68
14 9 47
6 23 40
1 12 7
21 13 87
10 3 23
14 19 13
13 3 58
2 2 13
8 8 81
3 7 57
22 6 40
5 14 53
21 19 20
48 78
38 38 76
20 35 72
46 30 37
47 34 35
2 6 37
27 47 5
9 39 6
34 37 66
48 48 80
15 18 72
25 1 41
42 22 20
16 20 60
15 45 84
16 17 13
30 23 2
2 19 60
14 11 96
45 18 17
43 20 66
32 40 11
31 9 88
25 34 40
25 43 5
29 41 42
2 25 75
34 26 34
31 8 19
29 31 53
30 7 25
7 33 45
20 21 97
20 3 6
16 26 42
37 20 72
24 1 18
18 25 25
35 15 58
17 31 76
34 47 90
30 1 4
17 18 27
38 15 50
27 18 47
2 44 37
9 13 24
17 43 97
27 7 93
23 29 96
34 5 16
42 1 61
3 3 35
1 17 7
47 18 91
5 29 67
43 46 26
14 15 51
3 15 94
25 16 94
45 16 39
10 36 46
23 18 97
32 30 33
2 42 84
38 24 54
26 45 1
47 40 62
28 38 64
42 37 55
9 38 12
39 44 67
4 35 99
23 42 88
15 35 65
29 10 47
5 43 66
17 27 98
47 9 95
16 1
7 11 7
97 34
28 56 12
50 9 46
82 88 49
27 35 89
27 82 98
77 72 53
44 88 23
47 57 100
10 27 21
92 73 13
15 81 86
55 38 68
30 97 70
22 39 9
20 85 7
60 46 27
50 72 75
15 42 47
16 71 15
22 35 39
49 39 5
55 48 18
88 41 44
59 76 80
58 15 34
7 20 53
36 39 89
27 70 73
61 45 16
94 91 81
71 15 15
76 39 91
78 5 48
6 24 71
20 82
13 14 91
3 3 64
19 2 29
7 6 48
15 7 23
4 5 78
6 1 48
18 4 65
11 9 54
19 7 56
19 17 13
17 3 2
5 3 7
13 11 24
12 16 51
9 16 51
4 2 21
9 13 99
8 6 85
19 4 63
17 12 60
2 13 73
16 9 84
19 17 77
6 4 40
10 7 98
8 18 76
3 11 21
14 10 36
18 14 81
6 2 87
20 6 23
16 14 86
7 4 36
6 9 97
1 2 53
9 17 83
13 17 20
19 19 66
12 7 97
2 8 77
3 6 3
13 20 65
1 11 58
1 20 55
1 12 99
8 12 11
17 16 34
11 16 100
13 17 77
8 7 4
16 3 16
7 17 67
7 19 38
6 6 65
1 1 9
13 15 15
7 19 53
10 11 26
14 20 80
2 18 39
10 12 46
6 9 40
2 14 63
14 8 71
16 9 9
10 7 30
2 12 64
13 12 60
9 7 15
20 9 71
5 11 56
7 19 37
4 14 28
14 8 72
15 14 62
18 8 3
7 14 64
14 16 96
20 11 7
14 17 6
20 13 24
20 27
6 6 94
8 5 72
20 8 72
16 17 20
14 13 53
20 11 58
10 7 58
20 7 66
16 14 60
9 2 29
12 17 70
16 15 79
17 15 44
6 12 25
18 12 23
19 15 96
16 19 84
12 4 23
1 13 4
9 1 91
19 3 6
2 18 19
17 9 21
13 13 14
1 8 83
8 15 59
5 4 95
65 15
26 16 47
8 34 56
65 62 93
9 39 81
45 41 49
28 62 92
6 37 9
36 34 60
42 50 36
40 37 48
24 37 61
45 65 79
10 47 25
58 40 91
58 12 20
45 24
38 45 40
12 42 38
29 5 28
21 15 100
45 37 45
39 42 79
3 37 53
2 39 16
40 43 89
32 1 34
32 3 57
38 25 25
30 13 85
33 27 97
17 11 3
40 18 66
30 33 56
30 4 55
32 28 100
28 4 34
1 4 94
1 30 76
24 33 2
36 2 96
92 89
66 57 30
19 9 94
50 57 23
23 4 17
50 54 13
87 32 80
22 3 3
75 34 55
75 39 39
65 75 64
28 78 49
26 35 8
24 88 38
88 53 62
45 12 62
5 38 73
1 77 73
12 80 12
73 37 30
34 59 57
37 21 21
31 55 21
31 42 84
87 1 92
86 73 65
77 91 54
78 41 24
77 59 12
67 80 50
28 61 47
74 2 5
31 84 82
45 49 84
90 64 13
19 50 48
61 60 70
73 69 40
25 67 72
5 69 57
35 26 46
85 41 99
35 85 16
90 64 73
45 62 83
80 66 34
70 91 33
28 75 65
5 29 33
7 59 39
66 12 46
22 39 45
92 23 50
62 36 59
15 83 4
77 16 27
56 29 1
59 61 48
25 46 31
10 30 1
42 89 87
65 5 80
58 15 61
91 85 68
31 18 53
72 24 71
41 56 91
2 73 51
60 43 68
43 2 18
56 62 89
5 18 80
31 19 70
54 41 10
71 74 20
31 32 21
58 89 94
62 69 100
22 22 51
58 35 66
83 73 95
58 18 20
10 18 54
62 70 61
81 31 92
3 17 55
86 27 17
48 13 46
89 58 22
34 31 60
40 19
35 29 8
40 33 51
19 16 21
23 37 93
20 37 30
40 24 59
31 38 36
21 23 72
16 7 78
13 4 87
6 36 19
1 39 29
5 30 2
38 27 86
19 2 38
34 17 94
34 9 94
17 30 36
20 2 82
85 24
35 72 100
51 22 43
75 31 88
63 59 24
24 1 84
84 24 7
34 7 21
85 14 86
31 32 99
69 57 76
57 55 89
5 31 91
18 62 20
19 40 46
77 15 59
1 18 42
17 11 33
66 14 39
15 54 86
26 73 54
2 36 27
5 81 82
20 68 49
3 4 36
52 32
48 34 18
52 50 77
36 11 45
29 41 1
26 8 35
52 10 41
46 8 42
44 44 40
38 12 100
29 46 27
40 6 84
42 20 25
14 44 71
41 49 93
4 25 74
48 23 69
2 1 31
3 17 15
29 13 59
34 12 12
4 15 29
27 39 81
21 13 13
27 13 76
41 35 12
5 11 45
29 49 67
17 6 39
4 11 48
41 52 53
7 26 11
42 35 51
26 49
24 9 75
4 25 30
15 19 17
26 8 2
7 11 16
11 19 40
20 16 1
3 17 77
18 24 65
24 14 26
25 11 89
4 14 7
26 9 91
11 26 80
9 14 8
1 19 39
1 17 33
12 8 58
14 4 56
12 9 30
15 11 28
6 1 49
9 5 93
7 7 49
24 26 83
4 18 2
26 26 70
18 5 32
23 19 27
14 22 17
12 19 8
15 14 67
18 19 83
18 4 71
4 12 44
4 12 93
26 6 13
7 1 22
14 5 29
10 20 25
24 23 52
11 12 65
12 21 45
1 3 14
20 16 3
5 14 59
14 12 39
15 20 2
2 4 24
27 31
18 25 10
25 4 44
14 1 3
5 25 76
19 3 95
23 21 91
6 9 55
27 9 89
6 15 46
4 5 60
6 9 48
13 27 69
11 21 81
4 3 14
26 9 47
6 21 45
17 15 37
27 16 89
26 8 52
25 15 47
18 12 25
27 25 4
2 1 51
13 21 95
27 1 27
14 20 73
5 20 22
17 20 66
12 17 83
8 19 20
13 25 67
23 4
14 6 62
8 5 51
22 10 62
2 1 66
11 29
11 11 71
10 1 5
6 3 11
10 10 36
4 3 31
9 4 96
7 1 84
10 8 73
1 11 15
5 7 6
5 9 42
3 1 26
2 9 83
1 1 94
8 2 69
9 8 30
1 7 6
10 7 25
4 2 61
2 9 10
7 1 1
9 6 41
11 7 8
8 7 61
1 10 20
3 9 26
9 10 2
5 10 8
4 10 84
65 64
16 60 25
65 23 52
41 48 12
61 65 41
28 37 29
20 1 28
4 8 67
29 30 49
34 12 66
15 2 76
35 8 48
14 10 77
29 50 22
47 62 67
33 40 81
29 60 30
5 17 5
2 8 21
34 43 53
9 43 67
59 20 59
8 34 88
62 20 97
19 26 54
48 21 73
29 35 54
3 1 58
2 13 81
27 24 91
40 30 29
49 25 4
56 31 4
8 11 28
28 4 83
31 42 64
19 12 100
24 49 82
29 29 59
8 38 65
17 23 22
4 6 68
62 35 44
23 3 20
19 42 12
12 57 6
17 24 61
15 40 43
36 56 36
1 44 56
46 25 89
64 48 18
30 51 11
32 30 49
44 56 52
6 10 38
10 55 8
37 58 78
23 12 5
47 27 38
24 41 33
5 39 46
16 34 27
5 46 29
42 48 58
100 28
96 54 93
50 68 43
43 56 77
16 4 49
66 74 48
70 38 50
54 71 32
79 53 69
96 82 57
32 30 87
53 60 79
39 59 90
9 73 55
48 72 57
75 12 4
6 8 20
62 89 100
93 36 46
68 77 33
100 68 4
13 68 55
94 30 15
13 55 78
27 90 32
90 100 48
13 37 75
4 58 88
30 83 92
28 62
19 13 53
19 2 84
10 15 33
10 1 77
25 12 96
26 7 44
18 26 83
16 8 100
20 13 55
22 5 51
18 4 94
6 1 91
19 28 6
11 13 29
3 22 69
13 16 85
14 24 38
12 7 82
1 11 51
14 2 28
27 15 62
26 12 51
19 23 47
7 26 72
27 9 47
3 25 54
13 8 20
5 8 14
19 26 19
7 10 37
27 25 45
23 10 16
23 18 2
23 10 81
4 23 92
6 13 58
15 14 23
11 9 3
4 21 53
14 27 39
21 1 73
6 20 44
26 4 71
10 3 85
15 12 80
19 16 87
9 2 94
8 25 9
22 17 26
23 15 32
15 22 71
20 23 78
18 16 89
16 6 6
26 4 63
21 19 96
19 15 95
20 18 22
15 18 44
8 26 36
7 5 100
11 4 25
30 23
6 19 57
2 21 93
13 19 33
27 8 50
18 19 49
15 26 39
22 20 26
17 11 41
28 19 82
22 8 52
18 18 11
7 14 10
15 14 41
27 10 55
29 10 86
19 4 31
4 5 17
4 15 32
1 13 92
29 25 88
24 10 95
2 8 10
14 18 86
73 29
35 45 36
62 4 10
44 56 66
13 6 70
42 20 77
14 50 94
17 33 98
39 56 1
3 16 41
25 12 43
26 6 47
50 65 72
36 15 75
3 60 50
12 70 5
55 57 58
22 57 51
21 49 44
31 27 84
5 18 90
33 35 88
57 24 13
68 20 49
38 13 31
9 73 41
52 70 13
17 12 73
52 33 87
22 59 3
77 25
17 25 53
43 73 100
57 49 68
21 28 76
4 61 66
58 49 85
60 58 83
71 62 90
29 43 43
54 27 81
20 36 16
75 6 56
26 13 55
73 58 52
53 46 2
23 61 74
19 47 96
72 47 63
72 45 19
61 38 10
7 60 75
35 7 16
37 16 33
31 6 62
43 7 67
5 34
4 2 95
4 4 5
5 3 85
2 5 17
4 4 97
2 2 11
5 2 92
4 1 21
2 2 52
4 4 26
1 5 55
5 2 39
3 4 54
1 3 55
4 2 98
2 3 90
5 4 30
3 2 86
3 1 21
2 3 82
4 5 90
3 3 61
4 4 93
1 2 24
1 4 93
3 5 20
2 1 77
5 4 57
4 4 99
1 4 39
3 4 12
5 3 44
2 2 91
2 5 40
13 75
1 10 34
12 11 84
12 9 34
13 6 78
10 4 64
3 13 69
4 8 67
12 1 59
7 4 6
6 1 71
7 9 100
13 3 4
11 13 89
6 9 49
2 5 88
10 12 14
4 7 79
4 11 17
12 3 38
6 13 33
2 10 27
12 3 15
6 9 47
13 11 94
3 10 39
12 3 15
1 5 26
9 3 45
9 3 77
11 2 48
6 8 45
5 2 70
3 8 97
3 9 69
5 4 31
4 5 91
8 13 47
1 2 7
11 5 97
13 13 58
13 2 68
11 8 4
5 1 17
9 12 19
3 9 98
13 13 75
3 2 8
1 7 28
7 13 76
7 12 100
11 6 12
8 7 36
12 9 15
12 3 33
3 7 6
7 13 69
9 13 86
8 6 25
13 9 4
5 5 66
1 10 3
2 6 95
5 3 29
4 11 52
7 2 43
5 6 91
3 13 31
5 3 63
2 10 86
3 12 90
10 3 30
1 2 47
12 2 23
8 9 55
12 3 52
32 23
9 11 80
13 22 81
19 14 30
3 8 11
19 4 61
26 10 56
5 29 29
12 31 27
25 4 2
8 5 98
32 23 51
15 7 94
30 26 32
13 16 22
22 26 41
4 9 11
14 29 21
27 20 65
31 5 23
21 26 87
9 7 19
27 9 60
5 15 42
67 23
47 12 55
37 28 17
25 33 3
22 37 2
40 45 3
37 28 44
1 10 90
21 57 22
63 16 88
64 67 73
50 9 54
5 7 97
21 28 16
53 58 34
50 64 38
55 22 34
59 28 45
64 33 89
30 25 41
57 48 44
13 38 1
46 11 54
6 49 33
100 17
50 35 13
42 13 53
81 51 10
63 36 70
18 12 66
22 64 12
44 46 7
65 94 51
34 45 43
26 3 37
8 54 60
30 44 7
96 71 52
60 42 29
45 16 21
85 59 79
39 84 39
38 36
16 23 31
6 8 81
13 9 53
28 9 13
4 29 26
31 18 95
36 11 10
11 14 62
14 23 47
31 2 74
13 22 36
13 30 90
4 34 22
2 7 64
36 4 6
28 14 35
25 29 16
7 24 12
2 20 44
32 16 56
22 17 91
35 8 21
17 36 68
30 36 34
26 4 79
18 4 1
3 20 73
15 24 71
15 11 38
24 21 92
21 34 62
24 22 99
21 4 96
21 2 69
7 26 46
25 21 47
56 60
6 38 69
15 48 69
6 32 88
32 50 65
29 34 41
7 9 47
26 22 32
32 33 25
36 9 45
16 56 71
31 16 75
45 37 46
14 19 100
7 10 16
38 21 42
28 29 34
40 41 30
38 26 84
24 51 51
28 30 98
15 47 87
43 11 85
43 56 23
48 32 19
40 24 67
10 52 99
5 15 4
54 23 26
40 52 34
45 12 94
47 45 25
48 53 1
29 8 87
9 6 54
4 20 22
10 39 72
44 45 92
37 14 24
18 54 81
13 37 24
29 10 36
54 21 83
24 45 90
11 54 77
21 53 32
37 25 39
41 18 46
3 3 42
11 15 34
21 1 1
9 28 42
22 2 66
29 39 28
7 49 20
54 2 69
43 15 26
43 17 64
